"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000002944",14448.8271262222,-10.4407142705189,0.291003164320822,-35.8783530580732,6.64713752020811e-282,4.20597626591168e-279
"ENSMUSG00000064354",256932.097942065,-10.3746199623436,0.28958328666487,-35.82603154287,4.3444507931835e-281,2.63899318981138e-278
"ENSMUSG00000027346",31645.0096976045,-6.45402196280741,0.183782062740174,-35.1178013054078,3.60629925437035e-270,2.10635617218723e-267
"ENSMUSG00000025728",20070.891215532,-6.67479405737997,0.190145675049561,-35.1035807448168,5.94398738273551e-270,3.34316268126746e-267
"ENSMUSG00000020034",10910.8751819105,-6.15406622630834,0.176277760513056,-34.9111890711395,5.02910032274801e-267,2.72756848218755e-264
"ENSMUSG00000034059",13615.4535221419,-13.15096649563,0.377734100349441,-34.8154071434484,1.42203319465896e-265,7.44655037727276e-263
"ENSMUSG00000020641",31782.1498949374,-8.25873727878909,0.238156951444778,-34.6777082452874,1.70819390468771e-263,8.64687754552919e-261
"ENSMUSG00000018983",8050.2495791336,-6.52343159343224,0.188505437714352,-34.6060658648872,2.04775368141536e-262,1.00313507761205e-259
"ENSMUSG00000034449",7767.53227489894,-7.13746172207001,0.206851756969418,-34.5052023083626,6.70247253974521e-261,3.18074212464284e-258
"ENSMUSG00000019302",7207.50259511829,-6.65885286692921,0.193806781408451,-34.35820366314,1.06225820373398e-258,4.88831911572855e-256
"ENSMUSG00000027510",9121.47558350665,-6.11799084233708,0.179739376877311,-34.038122022161,6.08364776162761e-254,2.71724337964932e-251
"ENSMUSG00000037415",16596.0795871784,-7.18296797519117,0.217076907408272,-33.0895075894998,4.20698917200953e-240,1.82535250188962e-237
"ENSMUSG00000027078",10250.0588296754,-6.13407935914017,0.187738622146355,-32.6735079282634,3.71567779883718e-234,1.56739675147615e-231
"ENSMUSG00000103065",10185.0777328302,-11.0925048540073,0.339925210091205,-32.6321923902939,1.43377241421298e-233,5.72980733743115e-231
"ENSMUSG00000103720",10185.0777328302,-11.0925048540073,0.339925210091205,-32.6321923902939,1.43377241421298e-233,5.72980733743115e-231
"ENSMUSG00000022564",11220.4544482496,-7.41972112092114,0.230200767129574,-32.2315221336547,6.38655579595451e-228,2.48682657224013e-225
"ENSMUSG00000040859",14644.829973597,-5.78065924933668,0.180180194736008,-32.0826562420262,7.69629560857018e-226,2.92189862779367e-223
"ENSMUSG00000039652",2285.88658452869,-8.71977005767032,0.283425500237199,-30.765651115982,7.5519901988617e-208,2.79718349170522e-205
"ENSMUSG00000101823",2965.46094166717,-9.01573540705222,0.295494324491664,-30.5106889026106,1.88014805635033e-204,6.79807818660382e-202
"ENSMUSG00000006574",168486.828933203,-13.7644099434123,0.451704381360233,-30.472163900565,6.09393222146689e-204,2.15215010965573e-201
"ENSMUSG00000045973",21812.3937183424,-5.70664672819566,0.188950214156794,-30.2018537193092,2.23948646080596e-200,7.7292821349544e-198
"ENSMUSG00000064341",256545.662583276,-6.10014923407575,0.202140830844199,-30.177719209918,4.64438957262841e-200,1.56732666777633e-197
"ENSMUSG00000037124",5220.07775763403,-8.18333954322804,0.271740171215888,-30.1145741780176,3.12284453305464e-199,1.03094602345582e-196
"ENSMUSG00000041842",7530.39456639985,-7.5988397201778,0.25314747420557,-30.0174423782997,5.81097406446468e-198,1.87756281155236e-195
"ENSMUSG00000042744",26869.836888049,-6.30875757331674,0.212121801618505,-29.7412030502308,2.25348183782828e-194,7.12945316442922e-192
"ENSMUSG00000021792",12500.3628738281,-6.42360888540061,0.216030570870142,-29.7347216161453,2.73310577107587e-194,8.4703967835833e-192
"ENSMUSG00000031024",2572.09440126125,-7.49780900878387,0.25241351653162,-29.7044671450651,6.7234735729067e-194,2.04205339356322e-191
"ENSMUSG00000029780",16279.1932262534,-5.54134006175223,0.186578558726268,-29.6997688243589,7.73157677018254e-194,2.30219068298024e-191
"ENSMUSG00000029922",19958.8123043219,-5.61515130197782,0.189380750099456,-29.6500636893082,3.38513793834761e-193,9.88590475610516e-191
"ENSMUSG00000004319",24559.8781169941,-5.34903121942852,0.18075618979179,-29.5925203202721,1.86499194210516e-192,5.34372974203943e-190
"ENSMUSG00000028542",2279.07957070972,-8.87738912018036,0.303049295373813,-29.2935481312704,1.25319439291711e-188,3.5242611205258e-186
"ENSMUSG00000062729",9904.66169218872,-6.73145146238756,0.231281360736509,-29.1050322470926,3.10029346483935e-186,8.56019210128188e-184
"ENSMUSG00000028906",39999.9579304516,-5.83193984485893,0.200756870510968,-29.0497646731364,1.54936502604654e-185,4.20154594384693e-183
"ENSMUSG00000029512",7466.91607606245,-5.75170631655644,0.199605108600646,-28.8154264030587,1.37462993545983e-182,3.66230354384087e-180
"ENSMUSG00000031974",10471.0365942168,-6.41611101020558,0.223241862125568,-28.7406266419543,1.18623204168336e-181,3.10588272155232e-179
"ENSMUSG00000079557",11109.1432998956,-7.01199677569169,0.247513080217227,-28.3298028917813,1.48462555181729e-176,3.82127519150803e-174
"ENSMUSG00000024663",4446.03100417334,-6.15970127181501,0.217601310938061,-28.3072801595774,2.81163700542846e-176,7.11625326073943e-174
"ENSMUSG00000032411",25743.1476025869,-5.23951964055616,0.185775545850879,-28.2034947956062,5.29806381421356e-175,1.31895732922372e-172
"ENSMUSG00000026027",4906.53011563715,-6.20865150706726,0.221050347919824,-28.0870469804425,1.41023105799532e-173,3.4541562655995e-171
"ENSMUSG00000000804",12286.4272009597,-5.64159331343205,0.202557397661414,-27.8518255988966,1.02367219747676e-170,2.46753745887016e-168
"ENSMUSG00000011831",11911.0493618373,-5.56955951280339,0.200040861831734,-27.8421091661176,1.34221008258161e-170,3.18481286157569e-168
"ENSMUSG00000024410",6718.44010389068,-5.13027877888781,0.185258809111337,-27.6924957225899,8.59747414322393e-169,2.00863449752305e-166
"ENSMUSG00000064368",88770.8147445032,-9.64433740064896,0.351362796984018,-27.4483738273738,7.26516754451004e-166,1.67164900501408e-163
