"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000097971",2013172.56300159,-5.50702395838874,0.217651113446438,2.0304562040454e-142,6.59348351092825e-140
"ENSMUSG00000027326",40830.5047256603,-4.42185195924291,0.174809139243841,2.9162222074873e-142,9.27656235675603e-140
"ENSMUSG00000004319",32010.9915560301,-4.6340547773183,0.184618534254633,2.24081818361384e-140,6.98552660559778e-138
"ENSMUSG00000026880",22646.6683366087,-5.34622212146598,0.213450870722696,1.42971222924503e-139,4.36959304259653e-137
"ENSMUSG00000022021",20656.7858544033,-4.24005034432946,0.17083158312614,4.19783061184379e-137,1.25829972590017e-134
"ENSMUSG00000069301",16325.1618020256,-4.28971421373141,0.172917708937174,5.3917311262913e-137,1.58567760500948e-134
"ENSMUSG00000041842",10434.793011849,-6.97945764623717,0.28219624549752,5.57210520977647e-136,1.60837785008863e-133
"ENSMUSG00000042066",10507.9540359788,-5.8698689755226,0.237692821755772,1.09082402068961e-135,3.09139527463437e-133
"ENSMUSG00000026311",9560.04954133874,-5.60729510390192,0.22917934629168,2.91306136021644e-133,8.1081941824453e-131
"ENSMUSG00000024937",29891.7049328026,-5.4707304965073,0.22405068025022,7.10829381858661e-133,1.94380659211069e-130
"ENSMUSG00000026605",78117.8830970866,-4.88549012205132,0.200187080555268,8.64972568392994e-133,2.32453921095545e-130
"ENSMUSG00000026027",5570.02860445137,-5.30037065159831,0.218771160959144,6.43589110272219e-131,1.70027516301917e-128
"ENSMUSG00000016494",10724.7817561881,6.16419113179507,0.253830285321309,6.76061511187262e-131,1.75629512914597e-128
"ENSMUSG00000034449",6765.43547718732,-5.84385954201789,0.241104231193912,7.32477226241113e-131,1.87165943039676e-128
"ENSMUSG00000011831",11905.4904036444,-4.46252373494172,0.185253677718588,2.10512107413365e-129,5.29234228750341e-127
"ENSMUSG00000063952",10642.2358572172,-5.7252233161789,0.239668755888498,2.46883550356734e-127,6.10821253874669e-125
"ENSMUSG00000097589",35900.4707561644,-5.82498697972828,0.244235819556899,7.36047121581649e-127,1.79261976313956e-124
"ENSMUSG00000051910",32744.9608968676,-6.88014769453367,0.288753801229142,1.33642123066496e-126,3.20473811113459e-124
"ENSMUSG00000034317",11695.4052819546,-4.5777769486729,0.192318548596599,2.44888384618545e-126,5.78344735007464e-124
"ENSMUSG00000053835",8019.9256979905,-5.16557198512351,0.217671631067666,9.52374493949378e-126,2.21562108017746e-123
